Status @ 0 s: INITIALIZING, est. queue position: None
Status @ 1782 s: QUEUED, est. queue position: 3
Status @ 1796 s: QUEUED, est. queue position: 3
Status @ 1809 s: QUEUED, est. queue position: 3
Status @ 1823 s: QUEUED, est. queue position: 3
Status @ 1837 s: QUEUED, est. queue position: 3
Status @ 1850 s: QUEUED, est. queue position: 3
Status @ 1864 s: QUEUED, est. queue position: 3
Status @ 1886 s: QUEUED, est. queue position: 3
Status @ 1900 s: QUEUED, est. queue position: 3
Status @ 1913 s: QUEUED, est. queue position: 3
Status @ 1926 s: QUEUED, est. queue position: 3
Status @ 1939 s: QUEUED, est. queue position: 3
Status @ 1953 s: QUEUED, est. queue position: 3
Status @ 1968 s: QUEUED, est. queue position: 3
Status @ 1981 s: QUEUED, est. queue position: 3
Status @ 1994 s: QUEUED, est. queue position: 1
Status @ 2007 s: QUEUED, est. queue position: 1
Status @ 2021 s: QUEUED, est. queue position: 1
Status @ 2034 s: QUEUED, est. queue position: 1
Status @ 2048 s: RUNNING, est. queue position: 0
Status @ 2063 s: RUNNING, est. queue position: 0

Status @    0 s: INIT   , est. queue: None
Status @   14 s: QUEUED , est. queue: 22
Status @  196 s: QUEUED , est. queue: 18
Status @ 1056 s: QUEUED , est. queue: 6
Status @ 1531 s: QUEUED , est. queue: 3
Status @ 2048 s: RUNNING, est. queue: 0

{'001': 379, '010': 422, '100': 470, '111': 354,
'110': 136, '101': 37,  '011': 44, '000': 158}
